@relation musik_ressourcen_train_table


@attribute location_found {false, true}
@attribute similarity_to_music_en numeric
@attribute similarity_to_music_de numeric
@attribute similarity_to_location_de numeric
@attribute similarity_to_family_de numeric
@attribute valueOfAllOtherClasses numeric
@attribute class {MUSIK_RESSOURCEN,NO_MR}


@data
false,0,0.222,0,0,0.0,MUSIK_RESSOURCEN
false,1.1762,0.222,0,0,0.0,MUSIK_RESSOURCEN
false,1.3592,0.111,0,0,0.0,MUSIK_RESSOURCEN
false,0,0,0.357,0,0.357,NO_MR
false,1.0224,0,0,0,0.0,MUSIK_RESSOURCEN
false,1.0943,0,0,0,0.0,NO_MR
false,1.0943,0,1.714,0,1.714,NO_MR
false,2.3234,0,0,0,0.0,NO_MR
false,1.3958,0,0.571,0,0.571,NO_MR
false,1.2637,0.111,0,0,0.0,MUSIK_RESSOURCEN
false,3.0436,0,0,1.667,1.667,NO_MR
false,1.2637,0,0,0,0.182,MUSIK_RESSOURCEN
false,2.8728,0,0,0,0.0,MUSIK_RESSOURCEN
false,2.6179,0,0,0,0.0,NO_MR
true,1.4409,0,1.5,0,1.591,NO_MR
false,2.6552,0,0,0,0.0,MUSIK_RESSOURCEN
false,1.2578,0,0,0,0.444,NO_MR
false,1.3228,0,0,0,0.0,NO_MR
false,0,0.222,0,0,0.0,NO_MR
false,1.5711,0,0,0,0.182,NO_MR
false,1.3593,0,0,0,0.0,NO_MR
false,0,0,0,0,0.0,MUSIK_RESSOURCEN
