@relation land_ort_train_table


@attribute location_found {false, true}
@attribute tokens {2, 1}
@attribute loc_lev numeric
@attribute eins {NE, ADV, NN, XY, ADJA, CARD, ADJD, FM, PIAT, APPR}
@attribute zwei {NE, NN, CARD}
@attribute one {NNP, JJ, NN, VBG, NNS, NNPS, VB, PRP, FW, UH, CC, MD, CD, RB, VBN, DT, IN}
@attribute two {NNP, CC, NN, NNPS, MD, VBG, RB, CD, NNS, VBN, FW, VB, IN, JJ}
@attribute count_one numeric
@attribute count_two numeric
@attribute has_adj {0, 1}
@attribute navi numeric
@attribute lang {en, de}
@attribute music_class numeric
@attribute body_class numeric
@attribute news_class numeric
@attribute location_class numeric
@attribute family_class numeric
@attribute career_class numeric
@attribute entity_class numeric
@attribute navigational_class {0, 1}
@attribute music_klasse numeric
@attribute body_klasse {0, 0.143, 0.286, 0.429}
@attribute news_klasse numeric
@attribute location_klasse numeric
@attribute family_klasse numeric
@attribute career_klasse numeric
@attribute class {NACHRICHTEN/INFORMATION, LAND/ORT}


@data
true,2,0,NE,NE,NNP,NNP,18,0,0,0,de,1.4992,1.5218,1.5728,1.7572,1.1565,1.4042,1.6519,0,0,0,0,0.286,0,0,LAND/ORT
true,2,0,NE,NE,NNP,NNP,0,3,0,0,de,1.4992,1.5218,1.5728,1.7572,1.1565,1.4042,1.6519,0,0,0,0,0.143,0,0,LAND/ORT
true,2,0,NN,NN,NNP,NNP,21,0,0,0,de,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,LAND/ORT
false,1,-1,NE,?,CC,?,0,0,0,0,de,0,0,0,0,0,0,0,0,0,0,0,2,0,0,LAND/ORT
false,1,3,NE,?,VB,?,1,0,0,0,en,1.2695,1.2809,1.2581,1.3892,1.0482,1.1811,1.365,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,2,0,NE,NE,NNP,NNP,0,16,0,1,de,2.3406,2.2972,2.4366,2.6039,1.7416,2.6967,2.5586,0,0,0,0,0,0,1.091,NACHRICHTEN/INFORMATION
false,2,6,NE,NE,NNP,NNP,536,1,0,0,en,2.4265,2.6153,2.5309,2.4697,1.9823,2.5367,2.7942,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1,0,NN,?,NNP,?,0,0,0,0,de,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545,NACHRICHTEN/INFORMATION
false,2,-1,NN,CARD,NNP,CD,56,11,0,1,de,2.786,2.641,2.6195,2.5688,2.2184,2.6997,2.7493,0,0,0,0,0.071,0,0,LAND/ORT
false,2,-1,NN,NN,RB,VBG,4,0,0,0,de,1.1085,0.9542,1.3003,1.0392,0.7316,0.9583,1.1138,0,0,0,0.222,0,0,0,NACHRICHTEN/INFORMATION
true,1,0,NN,?,NN,?,0,0,0,0,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAND/ORT
false,2,6,ADV,NN,NNP,NN,52,39,0,0,de,2.2508,2.4523,2.0269,1.9348,2.382,2.5304,2.3514,0,0,0,0,0,0,1.818,NACHRICHTEN/INFORMATION
false,1,-1,NN,?,NNP,?,13,0,0,5,de,1.663,1.3604,1.4734,1.377,1.2315,1.2918,1.3843,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2,-1,NE,NE,JJ,NNS,60,12,1,0,en,1.3998,1.3228,1.3345,1.7426,1.1739,1.2332,1.4208,0,0,0,0,0,0,0,LAND/ORT
false,2,7,NE,CARD,NNP,CD,5,0,0,2,de,1.4992,1.5218,1.5728,1.7572,1.1565,1.4042,1.6519,0,0,0,0,0.357,0,0,LAND/ORT
false,2,2,NE,NE,NNP,NNP,4,98,0,3,de,1.2388,1.1762,1.1312,1.1901,1.5809,1.1636,1.4735,0,0,0,0,0.357,0,0,LAND/ORT
true,1,0,NE,?,NN,?,0,0,0,0,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAND/ORT
true,2,0,NN,NE,NNP,NNP,0,2,0,0,de,1.4992,1.5218,1.5728,1.7572,1.1565,1.4042,1.6519,0,0,0,0,0.143,0,0,LAND/ORT
true,2,0,NN,NE,NNP,NNP,0,6,0,0,de,1.4992,1.5218,1.5728,1.7572,1.1565,1.4042,1.6519,0,0,0,0,0.143,0,0,LAND/ORT
false,2,-1,NN,NE,NNP,NNP,0,0,0,0,de,0,0,0,0,0,0,0,0,0.333,0,0.556,0,0,0.818,NACHRICHTEN/INFORMATION
false,2,-1,NE,NN,NNP,NNP,4,32,0,0,de,2.65,2.6552,2.6479,2.6015,2.1531,2.602,2.8211,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2,7,NE,NE,NNP,NNP,8,18,0,3,en,2.7321,3.2872,2.9276,2.8482,2.3894,2.9014,3.2313,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2,-1,NE,NE,NNP,NNP,27,210,0,0,en,1.2388,1.1762,1.1312,1.1901,1.5809,1.1636,1.4735,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1,0,NE,?,?,?,0,0,0,0,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAND/ORT
false,2,4,NN,NN,NNP,NN,15,23,0,0,de,1.0574,1.0218,1.1375,1.1126,0.7859,1.0261,1.4684,0,0,0,0,0,3.5,0,NACHRICHTEN/INFORMATION
false,2,5,NE,NE,NNP,NNPS,3,1,0,13,en,1.1544,1.0961,1.0561,1.109,1.4586,1.0802,1.347,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2,-1,NN,NE,NNP,NNP,0,0,0,0,de,0,0,0,0,0,0,0,0,0,0,0,0.357,0,0.182,LAND/ORT
false,2,-1,NE,NE,NN,NN,9,0,0,0,de,1.009,0.954,1.062,1.039,0.732,1.065,1.114,0,0,0,0,0,0,0.364,LAND/ORT
false,2,4,NN,NN,NNP,NNP,193,9,0,2,de,2.2471,2.3106,2.2362,2.1626,1.8108,2.5638,2.6962,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1,-1,NN,?,NN,?,5,0,0,4,de,1.2388,1.1762,1.1312,1.1901,1.5809,1.1636,1.4735,0,0,0,0.889,0,0,0.455,NACHRICHTEN/INFORMATION
false,2,3,NE,NE,NNP,NNP,79,182,0,1,en,2.2357,2.1368,2.1935,2.2216,2.3425,2.2332,2.5408,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2,-1,NN,NN,NNP,NNP,13,0,0,6,de,1.9715,1.3657,1.6379,1.417,1.2222,1.6348,1.4979,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1,-1,NE,?,NN,?,1,134,0,0,de,0,0,0,0,0,0,0,0,0,0,0,1.357,0,0,LAND/ORT
true,2,0,NE,NE,NNP,NNP,4,2,0,0,en,1.2695,1.2954,1.2695,1.4243,1.0482,1.1811,1.5165,0,0,0,0,0.143,0,0,LAND/ORT
false,2,-1,NN,NE,NNP,NN,0,0,0,712,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1,0,NE,?,VBG,?,0,10,0,0,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAND/ORT
false,2,-1,NE,NE,NNP,NNS,0,34,0,2,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2,-1,NE,NE,NNP,NNP,19,2,0,0,en,1.1839,1.2077,1.1839,1.3237,0.9786,1.1028,1.4061,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2,2,NE,NE,NNP,NNP,39,4,0,28,en,1.0322,1.0525,1.0322,1.1492,0.8528,0.9624,1.2173,0,0,0,0,0,0,0.545,NACHRICHTEN/INFORMATION
false,2,5,NE,NE,NNP,NNPS,4,9,0,3,de,2.4534,2.2705,2.5671,2.3819,2.4243,2.2626,2.7543,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1,0,NN,?,NN,?,4,13,0,0,de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAND/ORT
false,2,-1,NE,NE,NNP,CC,2,4,0,0,de,1.1839,1.2077,1.1839,1.3237,0.9786,1.1028,1.4061,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1,0,NE,?,NNP,?,7,0,0,0,en,1.4992,1.5218,1.5728,1.7572,1.1565,1.4042,1.6519,0,0,0,0,0,0,0,LAND/ORT
true,1,0,NE,?,NN,?,0,0,0,0,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAND/ORT
true,2,0,NN,NE,NNP,NNP,124,0,0,2,de,1.4992,1.5218,1.5728,1.7572,1.1565,1.4042,1.6519,0,0,0,0,0.143,0,0.727,LAND/ORT
true,1,0,NE,?,NN,?,2,0,0,0,de,1.499,1.522,1.573,1.757,1.157,1.404,1.652,0,0,0,0,0.143,0,0,LAND/ORT
false,1,-1,NE,?,VBG,?,0,0,0,0,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAND/ORT
