@relation land_ort_train_table


@attribute location_found {false, true}
@attribute location_class numeric
@attribute location_klasse numeric
@attribute valueOfAllOtherClasses numeric
@attribute class {LAND/ORT, NACHRICHTEN/INFORMATION}


@data
true,3.5145,0,0.0,NACHRICHTEN/INFORMATION
false,2.7916,0,0.728,NACHRICHTEN/INFORMATION
true,0,0,0.0,LAND/ORT
true,1.396,0,0.0,LAND/ORT
false,0,0,0.444,NACHRICHTEN/INFORMATION
false,1.3721,0,0.0,NACHRICHTEN/INFORMATION
false,1.7572,0,0.0,LAND/ORT
true,1.7572,0,0.0,LAND/ORT
false,0,0,0.0,LAND/ORT
false,0,1.714,0.515,NACHRICHTEN/INFORMATION
true,1.757,0.286,0.0,LAND/ORT
true,0,0.071,0.697,LAND/ORT
true,1.7572,0.143,0.0,LAND/ORT
false,2.8482,0,0.0,NACHRICHTEN/INFORMATION
true,1.7572,0.214,0.0,LAND/ORT
false,2.728,2.214,0.0,LAND/ORT
true,1.4762,1.5,0.182,LAND/ORT
false,1.109,0,0.0,NACHRICHTEN/INFORMATION
false,1.279,0.143,0.0,LAND/ORT
false,1.7572,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0.444,NACHRICHTEN/INFORMATION
true,1.7572,0,0.0,LAND/ORT
false,1.7572,0,0.0,NACHRICHTEN/INFORMATION
false,1.7012,0,0.0,LAND/ORT
false,1.1492,0,1.09,NACHRICHTEN/INFORMATION
true,0,0,0.0,LAND/ORT
true,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0.222,NACHRICHTEN/INFORMATION
false,1.1918,0,0.0,LAND/ORT
false,0,1.357,0.0,LAND/ORT
true,2.796,0,0.0,LAND/ORT
false,1.7572,0,0.0,NACHRICHTEN/INFORMATION
false,3.0351,0,0.667,NACHRICHTEN/INFORMATION
false,0,0,0.222,NACHRICHTEN/INFORMATION
false,0,0,0.0,NACHRICHTEN/INFORMATION
false,3.5145,1.357,0.0,NACHRICHTEN/INFORMATION
false,1.1126,0,0.333,NACHRICHTEN/INFORMATION
true,0,0.143,0.0,LAND/ORT
false,1.1918,0,0.0,NACHRICHTEN/INFORMATION
false,1.7572,0,0.0,LAND/ORT
false,1.7572,0,1.454,NACHRICHTEN/INFORMATION
false,1.7572,0.357,0.0,LAND/ORT
false,0,0,0.515,NACHRICHTEN/INFORMATION
true,0,0.143,0.0,LAND/ORT
true,0,0,0.0,LAND/ORT
false,1.4762,0,0.0,NACHRICHTEN/INFORMATION
false,3.0361,1.5,0.0,LAND/ORT
true,1.4762,1.5,0.182,LAND/ORT
false,0,0.143,0.849,NACHRICHTEN/INFORMATION
true,1.7572,0,0.0,LAND/ORT
false,0,0,0.0,LAND/ORT
false,1.2779,0,1.204,NACHRICHTEN/INFORMATION
false,3.5145,0,0.0,NACHRICHTEN/INFORMATION
false,1.109,0,0.0,NACHRICHTEN/INFORMATION
true,1.757,0.286,0.0,LAND/ORT
false,0,0,0.667,NACHRICHTEN/INFORMATION
true,0,0.5,0.0,LAND/ORT
false,1.7572,0,0.0,NACHRICHTEN/INFORMATION
false,1.7572,1.714,0.0,LAND/ORT
false,0,0,0.444,NACHRICHTEN/INFORMATION
false,1.0392,0,0.0,NACHRICHTEN/INFORMATION
false,0,0.286,0.0,LAND/ORT
false,3.5145,0,0.0,LAND/ORT
false,1.363,0,0.0,LAND/ORT
false,0,0,0.0,LAND/ORT
false,1.7572,0,0.0,NACHRICHTEN/INFORMATION
true,0,0.143,0.0,LAND/ORT
true,0,0,0.0,LAND/ORT
false,0,0,0.0,NACHRICHTEN/INFORMATION
false,2.9444,0,0.667,NACHRICHTEN/INFORMATION
true,1.7572,0.143,0.0,LAND/ORT
true,0,0.214,0.0,LAND/ORT
true,0,0,0.0,LAND/ORT
true,0,0.143,0.0,LAND/ORT
false,1.3721,0,0.444,NACHRICHTEN/INFORMATION
true,0,0,0.0,LAND/ORT
false,0,0,0.0,NACHRICHTEN/INFORMATION
true,0,0,0.0,LAND/ORT
true,1.1918,0.143,0.0,NACHRICHTEN/INFORMATION
false,2.4697,0,0.0,NACHRICHTEN/INFORMATION
true,1.2779,0,0.0,NACHRICHTEN/INFORMATION
false,3.0351,0,0.0,NACHRICHTEN/INFORMATION
true,1.7572,0.143,0.0,LAND/ORT
true,2.8663,0.071,0.0,LAND/ORT
true,2.4839,0,0.0,NACHRICHTEN/INFORMATION
false,0,0.357,0.364,LAND/ORT
false,2.2245,0.357,0.0,NACHRICHTEN/INFORMATION
true,0,0,0.0,LAND/ORT
true,1.7572,0,0.0,NACHRICHTEN/INFORMATION
true,1.7572,0.214,0.0,LAND/ORT
false,1.1901,0,0.0,NACHRICHTEN/INFORMATION
false,1.0343,0,0.0,NACHRICHTEN/INFORMATION
false,2.6879,0,1.09,NACHRICHTEN/INFORMATION
false,1.377,0,0.0,NACHRICHTEN/INFORMATION
false,1.109,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0.778,NACHRICHTEN/INFORMATION
true,0,0,0.0,LAND/ORT
false,1.324,0,0.364,LAND/ORT
true,0,0,0.0,LAND/ORT
true,1.757,0.143,0.0,LAND/ORT
false,1.757,0.143,0.0,LAND/ORT
true,0,0.143,0.0,LAND/ORT
true,0,0,0.0,LAND/ORT
true,2.6039,0,2.182,NACHRICHTEN/INFORMATION
false,1.757,0,0.0,LAND/ORT
true,1.757,0.143,0.0,LAND/ORT
true,0,0.143,0.0,LAND/ORT
false,1.3606,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0.0,LAND/ORT
true,2.792,0,1.09,LAND/ORT
false,1.7572,0,0.0,NACHRICHTEN/INFORMATION
true,1.4243,0.143,0.0,LAND/ORT
false,1.9348,0,3.636,NACHRICHTEN/INFORMATION
false,1.1901,0,0.0,NACHRICHTEN/INFORMATION
false,1.3721,0,0.0,NACHRICHTEN/INFORMATION
false,3.1815,0,0.0,NACHRICHTEN/INFORMATION
true,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,0.143,0.0,LAND/ORT
true,1.7572,0.143,1.454,LAND/ORT
false,1.2789,0.143,0.0,LAND/ORT
false,2.4114,0,0.0,NACHRICHTEN/INFORMATION
false,3.2547,0,0.0,NACHRICHTEN/INFORMATION
false,1.1126,0,0.0,NACHRICHTEN/INFORMATION
true,0,0,1.09,NACHRICHTEN/INFORMATION
false,1.3892,0,0.667,NACHRICHTEN/INFORMATION
false,2.2497,0.071,0.0,NACHRICHTEN/INFORMATION
true,1.7572,0.071,0.0,LAND/ORT
false,1.757,0.143,0.0,LAND/ORT
false,2.7223,0,0.0,NACHRICHTEN/INFORMATION
false,1.417,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.7572,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0.0,NACHRICHTEN/INFORMATION
true,1.267,0.143,0.0,LAND/ORT
false,1.1901,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.149,1.357,0.0,LAND/ORT
false,1.1901,0,0.0,NACHRICHTEN/INFORMATION
false,0,0.143,0.0,NACHRICHTEN/INFORMATION
true,2.8663,0,0.0,NACHRICHTEN/INFORMATION
true,1.7572,0.071,0.0,LAND/ORT
true,0,0,0.0,LAND/ORT
false,1.2789,0.143,0.0,LAND/ORT
true,1.1901,0,0.0,LAND/ORT
false,0,0.357,0.0,LAND/ORT
false,1.1918,0,0.222,NACHRICHTEN/INFORMATION
true,0,0,0.0,LAND/ORT
false,1.109,0,0.0,NACHRICHTEN/INFORMATION
false,1.2789,0,0.0,NACHRICHTEN/INFORMATION
false,1.1126,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,2.182,NACHRICHTEN/INFORMATION
false,2.6773,0,0.0,NACHRICHTEN/INFORMATION
false,1.6593,0,0.111,NACHRICHTEN/INFORMATION
true,1.7572,0.143,0.0,LAND/ORT
false,2.5557,0,0.667,NACHRICHTEN/INFORMATION
true,1.7572,0.143,0.0,LAND/ORT
false,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.1901,0,0.0,NACHRICHTEN/INFORMATION
true,1.7572,0,0.0,LAND/ORT
false,0,0,0.667,NACHRICHTEN/INFORMATION
false,1.757,0,0.0,LAND/ORT
false,0,0,0.143,NACHRICHTEN/INFORMATION
false,0,0.357,0.0,NACHRICHTEN/INFORMATION
false,3.1222,0,0.0,LAND/ORT
false,1.7572,1.714,0.0,NACHRICHTEN/INFORMATION
false,1.109,0,0.0,NACHRICHTEN/INFORMATION
true,1.7572,0.071,0.0,LAND/ORT
true,0,0,0.0,LAND/ORT
true,0,0.143,0.0,LAND/ORT
true,1.7572,0.143,0.0,LAND/ORT
false,1.4762,0,0.0,NACHRICHTEN/INFORMATION
true,1.7572,0.143,0.0,LAND/ORT
false,0,0,0.0,LAND/ORT
false,3.5145,0,0.143,NACHRICHTEN/INFORMATION
false,2.6015,0,0.0,NACHRICHTEN/INFORMATION
true,0,0,0.0,LAND/ORT
true,1.7572,0.143,0.697,LAND/ORT
false,1.1901,0,0.0,NACHRICHTEN/INFORMATION
false,1.4762,0,0.0,NACHRICHTEN/INFORMATION
